name,id,family,x,y,Rec.P,RecRef.I,RecRef.D,ContQInitial,ContQNonInitial,NumNoun,NounNum,DegWAdj,AdjDegW,GenN,NGen,AdjN,NAdj,PossAff.P,PossPre,PossSuff,ComInst,NPconj,NVconj,DefArt,IndefArt,PronomS,IndefPron,PronDem,DemDis,PronAdnDem,IntRef,GenPron,Gender,Gender.n,NegMorph,NPlural,OrdNum,DistNum,AdpN,DemN,NegV,OXV,RelN,Passive,Optative,Prohibitive,Imperative,AdpPM,PolarQ,PossClass,PossLocus,Reduplication,Future,Past,Aspect,Vper,SOV,Agr.Number,Agr.Gender,Agr.Case,Agr.State,Agr.none,Agr.Role,ClausePosition,Alignment
Old.Albanian,OldAlbanian,Albanian,24.94,37.84,Y,N,N,Y,N,Y,N,Y,N,N,Y,N,Y,Y,,,Identity,And different from with,Identity,Definite word distinct from demonstrative,Indefinite word same as one,Subject affixes on verb,Interrogativebased,Related to remote demonstratives,Twoway contrast,Identical,Identical,3rd person only but also nonsingular,Semantic and formal,Three,Negative particle,Plural suffix,First twoth threeth,,Prepositions,DemonstrativeNoun,NegV,VOX,NounRelative clause,Present,Inflectional optative present,Normal imperative  special negative,Second singular,No person marking,Initial,No possessive classification,Dependent marking,No productive reduplication,No inflectional future,Present no remoteness distinctions,Grammatical marking,A or P argument,SVO,Y,Y,Y,N,N,N,flexibleadjacent,SvAtrxP
Classical.Armenian,ClassicalArmenian,Armenian,38.5,43.5,Y,N,Y,N,Y,Y,Y,Y,N,Y,Y,Y,N,Y,,,Mixed,And different from with,Identity,Demonstrative word used as definite article,No indefinite but definite article,Subject affixes on verb,Interrogativebased,Related for all demonstratives,Threeway contrast,Different inflection,Differentiated,No gender distinctions,No gender,None,Variation between negative word and affix,Plural suffix,First twoth threeth,Marked by mixed or other strategies,Prepositions,Mixed,VNeg,No dominant order,NounRelative clause,Present,Inflectional optative absent,Special imperative  special negative,Second singular,No person marking,No question particle,No possessive classification,Dependent marking,Productive full and partial reduplication,Inflectional future exists,Present no remoteness distinctions,Grammatical marking,Only the A argument,SVO,N,N,N,N,N,N,flexibleadjacent,SvAtrxP
Middle.Breton,MiddleBreton,Celtic,-3.0,48.0,Y,Y,N,Y,N,Y,N,Y,N,N,Y,N,Y,Y,,,Identity,And different from with,Identity,Definite word distinct from demonstrative,Indefinite word same as one,Mixed,Mixed indefinites,Unrelated,Threeway contrast,Identical,Differentiated,3rd person only but also nonsingular,Semantic and formal,Two,Negative particle,Plural suffix,First second threeth,No distributive numerals,Prepositions,NounDemonstrative,NegV,OVX,NounRelative clause,Present,Inflectional optative absent,Normal imperative  special negative,Second singular,Pronouns only,Other position,No possessive classification,Dependent marking,No productive reduplication,Inflectional future exists,Present no remoteness distinctions,Grammatical marking,Only the A argument,No dominant order,N,N,N,N,Y,N,flexibleadjacent,SvAtrvP
Middle.Cornish,MiddleCornish,Celtic,-5.0,50.33,,,,Y,N,Y,N,Y,N,N,Y,N,Y,N,Y,N,Identity,And different from with,Identity,Definite word distinct from demonstrative,Indefinite word same as one,Obligatory pronouns in subject position,Mixed indefinites,Unrelated,Twoway contrast,Different stem,Differentiated,3rd person only but also nonsingular,Semantic and formal,Two,Negative particle,Mixed morphological plural,First second threeth,No distributive numerals,Prepositions,NounDemonstrative,NegV,,NounRelative clause,Present,Inflectional optative absent,Normal imperative  special negative,Second singular,Pronouns only,Other position,No possessive classification,Dependent marking,No productive reduplication,No inflectional future,Present no remoteness distinctions,Grammatical marking,Only the A argument,No dominant order,N,Y,N,N,N,N,flexiblerelational,SvAtrxP
Old.Czech,OldCzech,Slavic,15.0,50.0,Y,N,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,,,Differentiation,And different from with,Identity,No definite or indefinite article,No definite or indefinite article,Subject affixes on verb,Interrogativebased,Related for all demonstratives,Threeway contrast,Identical,Differentiated,3rd person only but also nonsingular,Semantic and formal,Three,Negative particle,Plural suffix,First second threeth,Marked by suffix,Prepositions,DemonstrativeNoun,NegV,VXO,NounRelative clause,Present,Inflectional optative absent,Normal imperative  normal negative,Second singular and second plural,No person marking,Other position,No possessive classification,Dependent marking,No productive reduplication,Inflectional future exists,Present no remoteness distinctions,Grammatical marking,Only the A argument,SVO,Y,Y,Y,N,N,N,flexiblerelational,SvAtrxP
Middle.Dutch,MiddleDutch,West Germanic,6.0,52.5,,,,Y,N,Y,N,Y,N,Y,Y,Y,N,Y,,,Identity,And different from with,Identity,Definite word distinct from demonstrative,Indefinite word same as one,Obligatory pronouns in subject position,Genericnounbased,Unrelated,Twoway contrast,Identical,Differentiated,3rd person only but also nonsingular,Semantic and formal,Three,Double negation,Plural suffix,First second threeth,,Prepositions,DemonstrativeNoun,NegV,VXO,NounRelative clause,Present,Inflectional optative absent,Normal imperative  normal negative,Second singular,No person marking,No question particle,No possessive classification,Head marking,No productive reduplication,No inflectional future,Present no remoteness distinctions,Grammatical marking,Only the A argument,SVO,Y,Y,N,N,N,N,flexibleadjacent,SvAtrxP
Middle.English,MiddleEnglish,West Germanic,-1.0,52.0,Y,Y,N,Y,N,Y,N,,,Y,N,Y,N,Y,,,Differentiation,And different from with,Identity,Definite word distinct from demonstrative,Indefinite word same as one,Obligatory pronouns in subject position,Mixed indefinites,Unrelated,Twoway contrast,,Differentiated,3rd person only but also nonsingular,Semantic,Two,Negative particle,Plural suffix,First second threeth,,Prepositions,DemonstrativeNoun,VNeg,VXO,NounRelative clause,Present,Inflectional optative absent,Normal imperative  normal negative,Second singular and second plural,No person marking,No question particle,No possessive classification,Dependent marking,No productive reduplication,No inflectional future,Present no remoteness distinctions,No grammatical marking,Only the A argument,SOV,Y,N,N,N,N,N,,SvAtrxP
Old.English,OldEnglish,West Germanic,-1.0,52.0,Y,N,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,,,Identity,And different from with,Identity,Demonstrative word used as definite article,No definite or indefinite article,Obligatory pronouns in subject position,Interrogativebased,Unrelated,Twoway contrast,Identical,Identical,3rd person only but also nonsingular,Semantic and formal,Three,Negative particle,Plural suffix,First second threeth,Marked by suffix,Prepositions,DemonstrativeNoun,NegV,VXO,NounRelative clause,Present,Inflectional optative absent,Normal imperative  normal negative,Second singular,No person marking,No question particle,No possessive classification,Dependent marking,No productive reduplication,No inflectional future,Present no remoteness distinctions,No grammatical marking,Only the A argument,SVO,Y,Y,N,N,N,N,flexibleadjacent,SvAtrxP
Middle.French,MiddleFrench,Italic,2.0,48.0,,,,Y,N,Y,N,Y,N,N,Y,N,Y,Y,,,Identity,And different from with,Identity,Definite word distinct from demonstrative,Indefinite word same as one,Obligatory pronouns in subject position,Mixed indefinites,Unrelated,No distance contrast,Identical,,3rd person only but also nonsingular,Semantic and formal,Two,Negative particle,Plural suffix,First second threeth,,Prepositions,DemonstrativeNoun,NegV,,NounRelative clause,Present,Inflectional optative absent,Normal imperative  normal negative,Second singular,No person marking,No question particle,No possessive classification,Dependent marking,No productive reduplication,Inflectional future exists,Present no remoteness distinctions,Grammatical marking,Only the A argument,SVO,Y,Y,N,N,N,N,flexibleadjacent,SvAtrxP
Old.French,OldFrench,Italic,2.0,48.0,Y,Y,N,Y,N,Y,N,Y,N,N,Y,N,Y,Y,,,Identity,And different from with,Identity,Definite word distinct from demonstrative,Indefinite word same as one,Subject affixes on verb,Mixed indefinites,Unrelated,Twoway contrast,Identical,Differentiated,3rd person only but also nonsingular,Semantic and formal,Two,Negative particle,Plural suffix,First second threeth,Marked by following word,Prepositions,DemonstrativeNoun,NegV,VXO,NounRelative clause,Present,Inflectional optative absent,Normal imperative  normal negative,Second singular,No person marking,No question particle,No possessive classification,Dependent marking,No productive reduplication,Inflectional future exists,Present no remoteness distinctions,Grammatical marking,Only the A argument,SVO,Y,Y,N,N,N,N,fixedpostmain,SvAtrxP
Old.Frisian,OldFrisian,West Germanic,7.5,53.58,Y,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,,,Identity,And different from with,Identity,Demonstrative word used as definite article,Indefinite word same as one,Obligatory pronouns in subject position,Interrogativebased,Unrelated,No distance contrast,Identical,Identical,3rd person only but also nonsingular,Semantic and formal,Three,Negative particle,Plural suffix,First second threeth,Marked by suffix,Prepositions,DemonstrativeNoun,NegV,VXO,NounRelative clause,Present,Inflectional optative absent,Normal imperative  normal negative,Second singular,No person marking,No question particle,No possessive classification,Dependent marking,No productive reduplication,No inflectional future,Present no remoteness distinctions,No grammatical marking,Only the A argument,SVO,Y,Y,N,N,N,N,,SvAtrxP
Middle.Greek,MiddleGreek,Greek,23.7,39.3,Y,N,Y,Y,N,Y,N,Y,N,N,Y,Y,N,Y,,,Identity,And different from with,Identity,Definite word distinct from demonstrative,No indefinite but definite article,Subject affixes on verb,Mixed indefinites,Related to nonremote demonstratives,Twoway contrast,Identical,Identical,3rd person only but also nonsingular,Semantic and formal,Three,Negative particle,Plural suffix,First second threeth,Marked by preceding word,Prepositions,DemonstrativeNoun,NegV,VOX,NounRelative clause,Present,Inflectional optative absent,Normal imperative  special negative,Second singular,No person marking,No question particle,No possessive classification,Dependent marking,No productive reduplication,No inflectional future,Present no remoteness distinctions,Grammatical marking,Only the A argument,SVO,Y,Y,Y,N,N,N,,SvAtrxP
Middle.High.German,MiddleHighGerman,West Germanic,10.6,48.25,Y,N,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,,,Identity,And different from with,Identity,Definite word distinct from demonstrative,Indefinite word same as one,Obligatory pronouns in subject position,Genericnounbased,Unrelated,Twoway contrast,Identical,Differentiated,3rd person only but also nonsingular,Semantic and formal,Three,Double negation,Plural suffix,First second threeth,Marked by preceding word,Prepositions,DemonstrativeNoun,VNeg,VXO,NounRelative clause,Present,Inflectional optative absent,Normal imperative  normal negative,Second singular,No person marking,No question particle,No possessive classification,Dependent marking,No productive reduplication,No inflectional future,Present no remoteness distinctions,No grammatical marking,Only the A argument,SVO,Y,Y,N,N,N,N,flexibleadjacent,SvAtrxP
Old.Icelandic,OldIcelandic,North Germanic,-17.0,65.0,Y,N,Y,Y,N,Y,Y,N,Y,N,Y,Y,Y,Y,,,Identity,And different from with,Identity,Definite word distinct from demonstrative,No indefinite but definite article,Obligatory pronouns in subject position,Interrogativebased,Unrelated,Twoway contrast,Identical,Differentiated,3rd person only but also nonsingular,Semantic and formal,Three,Negative particle,Plural suffix,First second threeth,Marked by suffix,Prepositions,Mixed,NegV,VXO,NounRelative clause,Present,Inflectional optative absent,Normal imperative  normal negative,Second singular,No person marking,No question particle,No possessive classification,Dependent marking,No productive reduplication,No inflectional future,Present no remoteness distinctions,No grammatical marking,Only the A argument,SVO,Y,Y,N,N,N,N,fixedpostmain,SvAtrxP
Middle.Irish,MiddleIrish,Celtic,-8.0,53.0,Y,N,Y,Y,N,Y,N,Y,N,N,Y,N,Y,Y,,,Identity,And different from with,Identity,Definite word distinct from demonstrative,No indefinite but definite article,Subject affixes on verb,Special,Unrelated,Threeway contrast,Identical,Differentiated,3rd person only but also nonsingular,Semantic and formal,Two,Negative particle,Plural suffix,First second threeth,Marked by preceding word,Prepositions,NounDemonstrative,NegV,VOX,NounRelative clause,Present,Inflectional optative absent,Normal imperative  special negative,Second singular,Pronouns only,Initial,No possessive classification,Dependent marking,No productive reduplication,Inflectional future exists,Present no remoteness distinctions,Grammatical marking,Only the A argument,VSO,Y,Y,Y,N,N,N,flexibleadjacent,SvAtrvP
Old.Lithuanian,OldLithuanian,Baltic,24.0,55.0,Y,N,Y,Y,N,Y,N,Y,N,N,Y,Y,N,Y,,,Differentiation,And different from with,Identity,No definite or indefinite article,No definite or indefinite article,Subject affixes on verb,Interrogativebased,Unrelated,Threeway contrast,Identical,Differentiated,3rd person only but also nonsingular,Semantic and formal,Two,Negative affix,Plural suffix,First second threeth,Marked by preceding word,Prepositions,DemonstrativeNoun,NegV,No dominant order,NounRelative clause,Present,Inflectional optative present,Normal imperative  normal negative,Second singular and second plural,No person marking,Initial,No possessive classification,Dependent marking,No productive reduplication,Inflectional future exists,Present no remoteness distinctions,Grammatical marking,Only the A argument,SVO,Y,Y,Y,N,N,N,flexiblerelational,SvAtrxP
Middle.Low.German,MiddleLowGerman,West Germanic,-1.0,52.0,Y,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,,,Identity,And different from with,Identity,Demonstrative word used as definite article,Indefinite word same as one,Obligatory pronouns in subject position,Mixed indefinites,Unrelated,,Identical,Differentiated,3rd person only but also nonsingular,Semantic and formal,Three,Double negation,Plural suffix,First second threeth,Marked by preceding word,Prepositions,DemonstrativeNoun,VNeg,VXO,NounRelative clause,Present,Inflectional optative absent,Normal imperative  normal negative,Second singular,No person marking,No question particle,No possessive classification,Dependent marking,No productive reduplication,No inflectional future,Present no remoteness distinctions,No grammatical marking,Only the A argument,SVO,Y,Y,N,N,N,N,flexibleadjacent,SvAtrxP
Old.Low.German,OldLowGerman,West Germanic,-1.0,52.0,Y,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,,,Identity,And different from with,Identity,Demonstrative word used as definite article,Indefinite word same as one,Obligatory pronouns in subject position,Interrogativebased,Unrelated,No distance contrast,Identical,Differentiated,3rd person only but also nonsingular,Semantic and formal,Three,Negative particle,Plural suffix,First second threeth,Marked by suffix,Prepositions,DemonstrativeNoun,NegV,VXO,NounRelative clause,Present,Inflectional optative absent,,Second singular,No person marking,No question particle,No possessive classification,Dependent marking,No productive reduplication,No inflectional future,Present no remoteness distinctions,No grammatical marking,Only the A argument,SVO,Y,Y,N,N,N,Y,flexibleadjacent,SvAtrxP
Old.Norwegian,OldNorwegian,North Germanic,6.06,62.09,Y,N,N,Y,N,Y,N,Y,N,N,Y,Y,N,Y,,,Identity,And different from with,Identity,Demonstrative word used as definite article,No indefinite but definite article,Obligatory pronouns in subject position,Interrogativebased,Unrelated,Twoway contrast,Identical,Differentiated,3rd person only but also nonsingular,Semantic and formal,Three,Negative particle,Plural suffix,First second threeth,Marked by suffix,Prepositions,NounDemonstrative,VNeg,VOX,NounRelative clause,Present,Inflectional optative absent,Normal imperative  normal negative,Second singular,No person marking,No question particle,No possessive classification,Dependent marking,No productive reduplication,No inflectional future,Present no remoteness distinctions,No grammatical marking,Only the A argument,No dominant order,Y,Y,Y,N,N,N,,SvAtrxP
Middle.Persian,MiddlePersian,Iranian,54.0,32.0,Y,N,Y,Y,Y,Y,N,Y,N,Y,Y,Y,Y,N,N,Y,Differentiation,And different from with,Identity,No definite or indefinite article,No definite or indefinite article,Obligatory pronouns in subject position,Mixed indefinites,Related for all demonstratives,Twoway contrast,Identical,,No gender distinctions,Semantic and formal,Two,Negative particle,Plural suffix,First second threeth,Marked by reduplication,No dominant order,DemonstrativeNoun,NegV,No dominant order,NounRelative clause,Present,Inflectional optative present,Normal imperative  special negative,Second singular,Pronouns only,No question particle,No possessive classification,Dependent marking,Full reduplication only,No inflectional future,No past tense,No grammatical marking,A or P argument,SOV,N,N,N,N,N,N,,SvAtrvP
Old.Polish,OldPolish,Slavic,20.0,52.0,,,,Y,N,Y,N,Y,N,N,Y,Y,Y,Y,,,Differentiation,And different from with,Identity,No definite or indefinite article,No definite or indefinite article,Obligatory pronouns in subject position,Interrogativebased,Unrelated,No distance contrast,Identical,,3rd person only but also nonsingular,Semantic and formal,Three,Negative particle,Plural suffix,First second threeth,,Prepositions,DemonstrativeNoun,NegV,VOX,NounRelative clause,Present,Inflectional optative absent,Normal imperative  normal negative,Second singular and second plural,No person marking,Initial,No possessive classification,Dependent marking,No productive reduplication,No inflectional future,Present no remoteness distinctions,Grammatical marking,Only the A argument,SVO,Y,Y,Y,N,N,N,flexibleadjacent,SvAtrxP
Old.Portuguese,OldPortuguese,Italic,-8.0,39.0,,,,Y,N,Y,N,Y,N,N,Y,N,Y,Y,,,Identity,And different from with,Identity,Definite word distinct from demonstrative,Indefinite word same as one,Subject affixes on verb,Special,Unrelated,Fourway contrast,Identical,,3rd person only but also nonsingular,Semantic and formal,Two,Negative particle,Plural suffix,First second threeth,,Prepositions,DemonstrativeNoun,NegV,VOX,NounRelative clause,Present,Inflectional optative absent,Normal imperative  normal negative,Second singular and second plural,No person marking,No question particle,No possessive classification,Dependent marking,No productive reduplication,No inflectional future,Present no remoteness distinctions,Grammatical marking,Only the A argument,SVO,Y,Y,N,N,N,N,,SvAtrxP
Old.Provencal,OldProvencal,Italic,0.6,43.5,Y,Y,N,Y,N,Y,N,Y,N,N,Y,Y,N,Y,,,Identity,And different from with,Identity,Definite word distinct from demonstrative,Indefinite word distinct from one,Subject affixes on verb,Mixed indefinites,Unrelated,Twoway contrast,Identical,,3rd person only but also nonsingular,Semantic and formal,Two,Negative particle,Plural suffix,First second threeth,No distributive numerals,Prepositions,DemonstrativeNoun,NegV,,NounRelative clause,Present,Inflectional optative absent,Normal imperative  normal negative,Second singular,No person marking,No question particle,No possessive classification,Dependent marking,No productive reduplication,Inflectional future exists,Present no remoteness distinctions,Grammatical marking,Only the A argument,SVO,Y,Y,N,N,N,N,flexibleadjacent,SvAtrxP
Old.Russian,OldRussian,Slavic,38.0,56.0,,,,Y,N,Y,N,N,Y,N,Y,Y,Y,Y,,,Differentiation,And different from with,,No definite or indefinite article,No definite or indefinite article,Subject affixes on verb,Interrogativebased,Related to remote demonstratives,Twoway contrast,,Identical,3rd person only but also nonsingular,,Three,Negative particle,Plural suffix,First second threeth,,Prepositions,DemonstrativeNoun,NegV,VXO,NounRelative clause,Present,Inflectional optative absent,Normal imperative  normal negative,Second singular and second plural,No person marking,Other position,No possessive classification,Dependent marking,No productive reduplication,No inflectional future,Present no remoteness distinctions,Grammatical marking,Only the A argument,SOV,Y,Y,N,N,N,Y,,SvAtrxP
Old.Sardinian,OldSardinian,Italic,9.0,40.0,,,,Y,N,Y,N,Y,N,N,Y,N,Y,Y,,,Identity,And different from with,Identity,Definite word distinct from demonstrative,Indefinite word same as one,Subject affixes on verb,Interrogativebased,Unrelated,Threeway contrast,Identical,Differentiated,3rd person only but also nonsingular,Semantic and formal,Two,Negative particle,Plural suffix,First second threeth,Marked by following word,Prepositions,DemonstrativeNoun,NegV,VOX,NounRelative clause,Present,Inflectional optative absent,Normal imperative  normal negative,Second singular and second plural,No person marking,Initial,No possessive classification,Dependent marking,No productive reduplication,No inflectional future,Present 23 remoteness distinctions,Grammatical marking,Only the A argument,SVO,Y,Y,N,N,N,N,,SvAtrxP
Old.Sicilian,OldSicilian,Italic,13.22,38.07,,,,,,Y,N,Y,N,N,Y,N,Y,Y,,,Identity,And different from with,Identity,Definite word distinct from demonstrative,Indefinite word same as one,Subject affixes on verb,Genericnounbased,Related for all demonstratives,Twoway contrast,Identical,,3rd person only but also nonsingular,Semantic and formal,Two,Negative particle,Plural suffix,,,Prepositions,DemonstrativeNoun,NegV,,NounRelative clause,,Inflectional optative absent,Normal imperative  normal negative,,No person marking,No question particle,No possessive classification,Dependent marking,No productive reduplication,Inflectional future exists,Present no remoteness distinctions,Grammatical marking,Only the A argument,SVO,Y,Y,N,N,N,N,,SvAtrxP
Old.Church.Slavic,OldChurchSlavic,Slavic,25.0,42.5,Y,N,Y,Y,N,Y,N,N,Y,N,Y,Y,N,Y,,,Differentiation,And different from with,Identity,No definite or indefinite article,No definite or indefinite article,Obligatory pronouns in subject position,Mixed indefinites,Related for all demonstratives,Threeway contrast,Identical,Differentiated,3rd person only but also nonsingular,Semantic,Three,Negative particle,Plural suffix,First second threeth,,Prepositions,DemonstrativeNoun,NegV,VOX,NounRelative clause,Present,Inflectional optative absent,Normal imperative  normal negative,Second singular and second plural,No person marking,Other position,No possessive classification,Dependent marking,No productive reduplication,No inflectional future,Present no remoteness distinctions,Grammatical marking,Only the A argument,No dominant order,Y,Y,N,N,N,N,,
Old.Spanish,OldSpanish,Italic,-4.0,40.0,,,,,,Y,N,Y,N,N,Y,N,Y,Y,,,Identity,And different from with,Identity,Definite word distinct from demonstrative,Indefinite word distinct from one,Subject affixes on verb,Mixed indefinites,Unrelated,Threeway contrast,Identical,Differentiated,3rd person only but also nonsingular,Semantic and formal,Two,Negative particle,Plural suffix,First second threeth,,Prepositions,DemonstrativeNoun,NegV,VOX,NounRelative clause,Present,Inflectional optative absent,,,No person marking,No question particle,No possessive classification,Dependent marking,No productive reduplication,No inflectional future,Present no remoteness distinctions,Grammatical marking,Only the A argument,SVO,Y,Y,N,N,N,N,fixedpostmain,SvAtrxP
Early.Old.Swedish,EarlyOldSwedish,North Germanic,19.75,64.25,Y,N,Y,Y,N,Y,N,,,Y,Y,Y,Y,Y,,,,And different from with,Identity,Definite affix,No indefinite but definite article,Obligatory pronouns in subject position,Interrogativebased,Unrelated,Twoway contrast,Identical,,3rd person only but also nonsingular,Semantic and formal,Three,Negative particle,Plural suffix,First second threeth,Marked by suffix,Prepositions,NounDemonstrative,VNeg,,NounRelative clause,Present,Inflectional optative absent,,Second singular,No person marking,No question particle,No possessive classification,Dependent marking,No productive reduplication,No inflectional future,Present no remoteness distinctions,No grammatical marking,Only the A argument,SVO,Y,Y,N,N,N,N,flexibleadjacent,SvAtrxP
Old.Tuscan,OldTuscan,Italic,12.6,43.5,,,,Y,N,Y,N,Y,N,N,Y,Y,Y,N,N,Y,Identity,And different from with,Identity,Definite word distinct from demonstrative,Indefinite word same as one,Subject affixes on verb,Mixed indefinites,Unrelated,Threeway contrast,Identical,Differentiated,3rd person only but also nonsingular,Semantic and formal,Two,Negative particle,Plural stem change,First second threeth,Marked by preceding word,Prepositions,DemonstrativeNoun,NegV,VOX,NounRelative clause,Present,Inflectional optative absent,Normal imperative  normal negative,Second singular,No person marking,No question particle,No possessive classification,Dependent marking,No productive reduplication,Inflectional future exists,Present no remoteness distinctions,Grammatical marking,Only the A argument,SVO,Y,Y,N,N,N,N,flexibleadjacent,SvAtrxP
